Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-548c-3p	4.736658926
hsa-miR-548c-5p	4.65264873
hsa-miR-548d-3p	4.649228688
hsa-miR-548d-5p	4.615576113
hsa-miR-549	4.618335348
hsa-miR-550	5.454097762
hsa-miR-550*	4.63885122
hsa-miR-551a	4.57321851
hsa-miR-551b	5.190525373
hsa-miR-551b*	4.962329922
hsa-miR-552	4.611323254
hsa-miR-553	4.658997924
hsa-miR-554	4.54926967
hsa-miR-555	4.586454894
hsa-miR-556-3p	4.70197444
hsa-miR-556-5p	4.611409758
hsa-miR-557	7.536552157
hsa-miR-558	4.610530575
hsa-miR-559	4.550656187
hsa-miR-561	4.649760923
hsa-miR-562	4.638147351
hsa-miR-563	4.720184969
hsa-miR-564	6.829788003
hsa-miR-566	5.117624719
hsa-miR-567	4.648059502
hsa-miR-568	4.615801571
hsa-miR-569	4.596928631
hsa-miR-570	4.578976045
hsa-miR-571	4.718056368
hsa-miR-572	9.816446597
hsa-miR-573	4.593468198
hsa-miR-574-3p	7.011776832
hsa-miR-574-5p	8.623307081
hsa-miR-575	10.04580461
hsa-miR-576-3p	4.767070885
hsa-miR-576-5p	4.726367668
hsa-miR-577	4.548352983
hsa-miR-578	4.604901126
hsa-miR-579	4.61453259
hsa-miR-580	4.604726404
hsa-miR-581	4.631759288
hsa-miR-582-3p	4.902833434
hsa-miR-582-5p	4.853694637
hsa-miR-583	5.165070393
hsa-miR-584	6.273592656
hsa-miR-585	4.686173932
hsa-miR-586	4.707743661
hsa-miR-587	4.594870062
hsa-miR-588	4.536312464
hsa-miR-589	4.61219087
hsa-miR-589*	4.563129501
hsa-miR-590-3p	4.708933741
hsa-miR-590-5p	5.090429324
hsa-miR-591	4.649796107
hsa-miR-592	4.557227723
hsa-miR-593	4.714108986
hsa-miR-593*	4.572157748
hsa-miR-595	4.691462639
hsa-miR-596	4.699804984
hsa-miR-597	4.625192864
hsa-miR-598	4.691662804
hsa-miR-599	4.634653392
hsa-miR-600	4.572515059
hsa-miR-601	6.941188487
hsa-miR-602	5.546806868
hsa-miR-603	4.627375212
hsa-miR-604	4.670678158
hsa-miR-605	5.983726173
hsa-miR-606	4.557617021
hsa-miR-607	4.633887359
hsa-miR-608	4.666492325
hsa-miR-609	4.631297054
hsa-miR-610	6.166988666
hsa-miR-611	4.644175387
hsa-miR-612	4.626913248
hsa-miR-613	4.735305077
hsa-miR-614	4.850343694
hsa-miR-615-3p	4.673000634
hsa-miR-615-5p	4.553180869
hsa-miR-616	4.782176771
hsa-miR-616*	4.589412607
hsa-miR-617	5.176299267
hsa-miR-618	4.653626448
hsa-miR-619	4.636936933
hsa-miR-620	4.577918292
hsa-miR-621	4.538622618
hsa-miR-622	6.563492739
hsa-miR-623	6.501271174
hsa-miR-624	4.650124239
hsa-miR-624*	4.594006892
hsa-miR-625	4.957681765
hsa-miR-625*	4.836464815
hsa-miR-626	4.660783006
hsa-miR-627	6.156563336
hsa-miR-628-3p	5.557163635
hsa-miR-628-5p	4.71580468
hsa-miR-629	4.975367453
hsa-miR-629*	5.030837777
hsa-miR-630	8.0091055
hsa-miR-631	5.040580545
hsa-miR-632	4.788157019
hsa-miR-633	4.615896536
hsa-miR-634	4.785979286
hsa-miR-635	4.605852039
hsa-miR-636	5.008191651
hsa-miR-637	4.666145035
hsa-miR-638	14.15338233
hsa-miR-639	4.655594437
hsa-miR-640	4.722312354
hsa-miR-641	4.607133323
hsa-miR-642	4.657491677
hsa-miR-643	4.578091204
hsa-miR-644	4.644601967
hsa-miR-645	4.692332897
hsa-miR-646	4.653938936
hsa-miR-647	4.602008512
hsa-miR-648	5.127313191
hsa-miR-649	4.632981069
hsa-miR-650	5.315633685
hsa-miR-651	4.624400054
hsa-miR-652	5.10442669
hsa-miR-653	4.611495071
hsa-miR-654-3p	5.757557805
hsa-miR-654-5p	4.851503305
hsa-miR-655	4.615812923
hsa-miR-656	4.661069073
hsa-miR-657	4.690684789
hsa-miR-658	4.744164329
hsa-miR-659	5.967124088
hsa-miR-660	6.401737894
hsa-miR-661	4.723569342
hsa-miR-662	5.10402224
hsa-miR-663	8.325725764
hsa-miR-665	6.879634607
hsa-miR-668	4.598626831
hsa-miR-671-3p	4.641821672
hsa-miR-671-5p	8.186953386
hsa-miR-675	4.621297686
hsa-miR-7	3.506357316
hsa-miR-7-1*	4.237232739
hsa-miR-7-2*	4.610996551
hsa-miR-708	4.875782589
hsa-miR-708*	4.723731983
hsa-miR-744	5.339366945
